priority_rank,settlement,district,status,population,flood_depth_m,nearest_care_time_min,has_care_within_60min,relief_staging_lat,relief_staging_lon,water_gap_km,priority_score,lat,lon
1,Joriguri,Dhemaji,isolated,450,6.0,unreachable,False,27.58391,94.77011,1.7,0.796,27.56889,94.76701
2,Phukangaon,Dhemaji,isolated,450,5.0,unreachable,False,27.54228,94.65184,4.78,0.779,27.54096,94.60333
3,Dhekiani Bam,Dhemaji,isolated,150,1.0,unreachable,False,27.57702,94.68068,1.98,0.712,27.59382,94.674
4,Bordoloni,Dhemaji,isolated,4100,0.2,unreachable,False,27.45486,94.53298,11.96,0.708,27.41113,94.42225
5,Kali Ghat,Lakhimpur,isolated,250,0.2,unreachable,False,27.11608,94.10532,6.02,0.699,27.06361,94.12026
6,Jonai,Dhemaji,critically_isolated,15420,0.0,unreachable,False,27.83581,95.22276,0.74,0.686,27.82914,95.22342
7,Gogamukh,Dhemaji,critically_isolated,12750,0.0,unreachable,False,27.22655,94.30504,23.18,0.68,27.43481,94.316
7,Dhakuakhana,Lakhimpur,critically_isolated,12800,0.0,unreachable,False,27.19641,94.44843,0.92,0.68,27.20335,94.4434
9,Kamalabari,Majuli,critically_isolated,12200,0.0,unreachable,False,26.97568,94.14474,3.85,0.679,26.94656,94.16577
10,Bihpuria,Lakhimpur,critically_isolated,10500,0.0,unreachable,False,27.01926,93.91495,0.18,0.675,27.01926,93.9168
11,Garamur,Majuli,critically_isolated,8500,0.0,unreachable,False,26.97898,94.14663,1.08,0.67,26.98031,94.15745
12,Auniati,Majuli,isolated,4500,0.0,unreachable,False,26.9748,94.13136,4.33,0.63,26.93649,94.12381
13,Dimow,Dhemaji,isolated,3200,0.0,unreachable,False,27.6197,94.77235,6.94,0.627,27.6718,94.81119
13,Dakhinpat,Majuli,isolated,3200,0.0,unreachable,False,26.95793,94.27709,5.0,0.627,26.91296,94.27601
15,Kadam,Lakhimpur,isolated,2200,0.0,unreachable,False,27.27201,94.12918,5.81,0.625,27.31722,94.15858
16,Deodia,Majuli,isolated,520,0.0,unreachable,False,26.97568,94.14474,3.11,0.621,26.95662,94.16769
16,Telam Bédum,Dhemaji,isolated,450,0.0,unreachable,False,27.75122,95.05138,4.8,0.621,27.76266,95.00435
16,Kuli Tiniali,Dhemaji,isolated,450,0.0,unreachable,False,27.83655,95.2041,4.15,0.621,27.79972,95.21082
16,Junkareng,Dhemaji,isolated,450,0.0,unreachable,False,27.83655,95.2041,7.15,0.621,27.78141,95.16678
16,Gali,Dhemaji,isolated,450,0.0,unreachable,False,27.74566,95.08823,3.48,0.621,27.75475,95.12203
16,Sikari,Dhemaji,isolated,450,0.0,unreachable,False,27.74566,95.08823,0.84,0.621,27.74917,95.09574
16,Mathuri Pathar,Dhemaji,isolated,450,0.0,unreachable,False,27.60313,94.73228,4.56,0.621,27.63906,94.70987
16,Ghagara Adi,Dhemaji,isolated,450,0.0,unreachable,False,27.62068,94.75322,5.19,0.621,27.65051,94.71269
16,Kendugurigaon,Dhemaji,isolated,450,0.0,unreachable,False,27.575,94.69597,0.91,0.621,27.58274,94.69283
16,Huliagaon,Dhemaji,isolated,450,0.0,unreachable,False,27.50814,94.52616,8.12,0.621,27.58093,94.51992
16,Borhati,Dhemaji,isolated,450,0.0,unreachable,False,27.75122,95.05138,2.66,0.621,27.7451,95.02525
16,Pahumara,Lakhimpur,isolated,750,0.0,unreachable,False,27.19985,94.052,0.21,0.621,27.20134,94.05324
16,Burisuti,Dhemaji,isolated,450,0.0,unreachable,False,27.69298,95.04256,0.79,0.621,27.68655,95.03915
16,Kakarikata,Majuli,isolated,520,0.0,unreachable,False,26.9748,94.13136,4.79,0.621,26.93272,94.12127
16,Kaibatra,Majuli,isolated,520,0.0,unreachable,False,26.97898,94.14663,0.75,0.621,26.98055,94.15403
16,Majarbari Ghat,Dhemaji,isolated,450,0.0,unreachable,False,27.59318,94.78831,11.83,0.621,27.59468,94.90836
16,Naryanpur,Lakhimpur,isolated,750,0.0,unreachable,False,26.9662,93.86528,1.82,0.621,26.95205,93.85611
16,Bormuria Chapori,Dhemaji,isolated,450,0.0,unreachable,False,27.54608,94.7369,0.4,0.621,27.54453,94.74054
16,Borodondi,Dhemaji,isolated,450,0.0,unreachable,False,27.75122,95.05138,1.45,0.621,27.74724,95.03736
16,Lakhipur Bédum,Dhemaji,isolated,450,0.0,unreachable,False,27.75122,95.05138,2.82,0.621,27.7645,95.02701
16,Seren,Dhemaji,isolated,450,0.0,unreachable,False,27.75122,95.05138,14.5,0.621,27.74939,94.904
16,Bilmukh,Lakhimpur,isolated,750,0.0,unreachable,False,27.22405,94.31482,8.82,0.621,27.30116,94.33574
16,Barati Gaon,Dhemaji,isolated,450,0.0,unreachable,False,27.5814,94.70351,2.07,0.621,27.59689,94.69186
