station,river,district,lat,lon,date,water_level_m,danger_level_m,hfl_m,above_danger
Neamatighat,Brahmaputra,Jorhat,26.93,94.05,2024-07-01,82.87,85.54,86.05,False
Neamatighat,Brahmaputra,Jorhat,26.93,94.05,2024-07-02,83.04,85.54,86.05,False
Neamatighat,Brahmaputra,Jorhat,26.93,94.05,2024-07-03,83.52,85.54,86.05,False
Neamatighat,Brahmaputra,Jorhat,26.93,94.05,2024-07-04,83.83,85.54,86.05,False
Neamatighat,Brahmaputra,Jorhat,26.93,94.05,2024-07-05,83.84,85.54,86.05,False
Neamatighat,Brahmaputra,Jorhat,26.93,94.05,2024-07-06,84.21,85.54,86.05,False
Neamatighat,Brahmaputra,Jorhat,26.93,94.05,2024-07-07,84.65,85.54,86.05,False
Neamatighat,Brahmaputra,Jorhat,26.93,94.05,2024-07-08,85.49,85.54,86.05,False
Neamatighat,Brahmaputra,Jorhat,26.93,94.05,2024-07-09,85.69,85.54,86.05,True
Neamatighat,Brahmaputra,Jorhat,26.93,94.05,2024-07-10,85.71,85.54,86.05,True
Neamatighat,Brahmaputra,Jorhat,26.93,94.05,2024-07-11,86.12,85.54,86.05,True
Neamatighat,Brahmaputra,Jorhat,26.93,94.05,2024-07-12,86.26,85.54,86.05,True
Neamatighat,Brahmaputra,Jorhat,26.93,94.05,2024-07-13,86.3,85.54,86.05,True
Neamatighat,Brahmaputra,Jorhat,26.93,94.05,2024-07-14,86.61,85.54,86.05,True
Neamatighat,Brahmaputra,Jorhat,26.93,94.05,2024-07-15,86.59,85.54,86.05,True
Neamatighat,Brahmaputra,Jorhat,26.93,94.05,2024-07-16,86.35,85.54,86.05,True
Neamatighat,Brahmaputra,Jorhat,26.93,94.05,2024-07-17,86.38,85.54,86.05,True
Neamatighat,Brahmaputra,Jorhat,26.93,94.05,2024-07-18,86.14,85.54,86.05,True
Neamatighat,Brahmaputra,Jorhat,26.93,94.05,2024-07-19,86.23,85.54,86.05,True
Neamatighat,Brahmaputra,Jorhat,26.93,94.05,2024-07-20,86.04,85.54,86.05,True
Neamatighat,Brahmaputra,Jorhat,26.93,94.05,2024-07-21,85.92,85.54,86.05,True
Neamatighat,Brahmaputra,Jorhat,26.93,94.05,2024-07-22,84.97,85.54,86.05,False
Neamatighat,Brahmaputra,Jorhat,26.93,94.05,2024-07-23,84.96,85.54,86.05,False
Neamatighat,Brahmaputra,Jorhat,26.93,94.05,2024-07-24,84.62,85.54,86.05,False
Neamatighat,Brahmaputra,Jorhat,26.93,94.05,2024-07-25,84.4,85.54,86.05,False
Neamatighat,Brahmaputra,Jorhat,26.93,94.05,2024-07-26,84.2,85.54,86.05,False
Neamatighat,Brahmaputra,Jorhat,26.93,94.05,2024-07-27,84.09,85.54,86.05,False
Neamatighat,Brahmaputra,Jorhat,26.93,94.05,2024-07-28,83.88,85.54,86.05,False
Neamatighat,Brahmaputra,Jorhat,26.93,94.05,2024-07-29,83.68,85.54,86.05,False
Neamatighat,Brahmaputra,Jorhat,26.93,94.05,2024-07-30,83.48,85.54,86.05,False
Neamatighat,Brahmaputra,Jorhat,26.93,94.05,2024-07-31,83.45,85.54,86.05,False
Dibrugarh,Brahmaputra,Dibrugarh,27.48,94.91,2024-07-01,102.04,104.78,105.36,False
Dibrugarh,Brahmaputra,Dibrugarh,27.48,94.91,2024-07-02,102.33,104.78,105.36,False
Dibrugarh,Brahmaputra,Dibrugarh,27.48,94.91,2024-07-03,102.6,104.78,105.36,False
Dibrugarh,Brahmaputra,Dibrugarh,27.48,94.91,2024-07-04,103.04,104.78,105.36,False
Dibrugarh,Brahmaputra,Dibrugarh,27.48,94.91,2024-07-05,103.39,104.78,105.36,False
